"sampleID","tubeLabel","plateID","sampleType","CDCA","GCDCA","TCDCA","UDCA","GUDCA","TUDCA","DCA","GDCA","LCA","GLCA","TLCA","CA","GCA","TCA","TDCA"
"SRV00284","1633-23","SRVp008","sample",26.4518233486,1537.6800061845,242.7245373327,1.5367474003,89.0457713756,11.6661018529,49.359544714,230.3707482823,5.5134902137,9.2376837414,2.9866897005,32.2312004092,389.1108878522,48.5407416297,49.5357904438
"SRV00225","1609-26","SRVp008","sample",21.2953397123,377.2833169596,84.1462087112,1.7625017448,10.9231775261,6.9562953558,111.6217171255,109.6165915044,6.4606354933,6.872767881,2.706644615,44.5414449766,81.1913168402,15.4784915345,46.1904173068
"SRV00280","1632-26","SRVp008","sample",183.0710551906,283.3047130426,31.7269706762,16.4297971172,29.0209441254,4.4436697682,449.7479704153,259.6872514375,8.5682184125,7.1206349201,1.4583485857,235.8403031593,88.8427574114,6.5485965945,34.0516528252
"SRV00267","1630-10","SRVp008","sample",54.9203427294,893.8462190085,378.9206226165,NA,26.4619975665,6.1764620268,122.8953815008,200.6113554159,13.0971766354,16.9585175035,12.0862424053,26.1666280812,228.6818281318,106.9370314306,116.9254666563
"SRV00207","1606-10","SRVp008","sample",3752.690124068,2718.978179162,335.3799389919,176.0939128406,148.7027090206,13.2228417942,1287.0506265285,818.668420628,15.2121073904,19.3366531972,3.835909979,6578.7623663195,1181.0579871102,167.3791075979,109.0417007798
"QC02#56",NA,"SRVp008","qc",331.0059233582,199.9642933541,430.1535332978,221.6202276806,252.3253279726,462.2182827363,239.3247623156,231.3949441694,271.9197328106,222.8612073806,395.7076318297,120.0586673187,217.669739056,394.7351595001,396.0603568924
"SRV00242","1617-10","SRVp008","sample",115.9941313361,1296.1390145729,164.7548191833,7.5741449276,120.3490512574,7.8218657719,89.4526000306,232.3561185478,6.1042716846,11.6323354849,1.2304459443,135.4741661045,263.8124536154,32.4891127997,40.9974888433
"SRV00224","1609-23","SRVp008","sample",13.4801645129,970.385992405,236.0383205951,NA,28.6856438428,8.7564151353,84.8089458638,397.3761112314,5.7926258215,26.8719189033,8.5749018558,40.2532262625,397.1339080783,79.1864523204,162.6543853133
"SRV00276","1632-2","SRVp008","sample",57.715297433,213.2275139818,9.952032475,13.981972885,34.4239137078,2.9213589116,359.1120537612,161.5534068539,5.102167127,6.9945962418,0.4429050332,35.2889519144,42.7894353562,2.5254081142,14.2063637793
"SRV00308","1642-18","SRVp008","sample",1007.6060053499,2150.08033542,289.8564723815,71.9739614825,196.8515060974,17.0884722792,305.0074664274,324.0324815761,10.3564678646,26.9260916521,4.6999230698,1216.5638907445,392.8787314494,65.470907747,58.4532658781
"SRV00286","1634-2","SRVp008","sample",329.7416687401,161.6754954691,7.8151087083,27.1029317132,15.2608260637,NA,567.5402936371,111.9400867327,15.9827841233,18.3255128438,0.5732615322,274.5492290337,53.9791509601,3.8063243359,5.6921115695
"SRV00262","1629-10","SRVp008","sample",85.9095448513,1778.418301391,325.0635829008,13.2319508905,98.6344897237,8.3243284656,274.6747824756,602.1333504244,8.9378497452,13.110837751,5.7867937748,15.3879440621,331.912106828,66.08727623,153.8639668439
"SRV00273","1631-18","SRVp008","sample",206.1107039249,920.8092017832,254.1615429045,NA,25.7252988213,5.964488579,269.3869310922,371.0266567227,9.4391953305,15.6100899314,4.6576242073,170.2647444322,208.3910881792,55.1408336918,152.1153294689
"SRV00315","1643-26","SRVp008","sample",3184.4174067644,767.7740180998,54.5319415415,230.4517753796,99.3292009803,8.7366137309,926.4287145656,156.3292861192,9.9753104894,6.722941692,1.792338553,2056.1300368305,89.4535038537,7.3508863811,13.0071542955
"SLTR#2",NA,"SRVp008","sltr",407.8989579574,1671.4278574907,258.324964367,64.4878596411,188.1943962155,13.4439394109,318.8024697776,517.7097561646,5.9672930906,22.4927410662,2.7977142094,138.3039018172,383.6115921041,90.7178875658,96.471199376
"SRV00298","1640-18","SRVp008","sample",49.4727407078,2409.9329875805,1373.4344005792,NA,44.6631659039,13.2821883315,11.857567208,66.4445596821,3.0283156334,2.62061678,1.889477554,46.5311636272,892.9316085672,433.1065650748,64.2526516626
"LTR#3",NA,"SRVp008","ltr",435.0398467772,1890.0522322263,276.8320610078,68.8374452515,177.5041769877,11.4155408526,308.0715608286,495.208060699,7.7872444823,24.6791034202,2.5208685889,151.539268289,381.7325597199,93.6521393059,90.684606435
"SRV00228","1610-18","SRVp008","sample",21.0366651937,680.0748305324,116.4134910212,NA,70.3847995061,6.3817058986,88.2252143741,287.7475570159,10.7566625192,6.6317117348,3.011153057,23.6679552793,172.1625748318,25.1703460835,59.4998708504
"SLTR#3",NA,"SRVp008","sltr",426.8832125275,1802.7504871222,260.5440181361,71.1847727389,185.8822831957,14.410597135,316.9924476218,497.853485843,5.6913906609,20.5433548103,3.5696023605,158.5945088952,380.703601906,89.017031818,94.5956070169
"SRV00336","1649-2","SRVp008","sample",253.2135595842,895.8847129311,159.1338966878,24.7329892938,77.8444187757,5.6665465308,283.7902817157,304.8959285585,13.04904907,8.5947379782,2.24634176,47.1118281036,590.5203080945,138.3392512755,55.8745492606
"SRV00349","1654-23","SRVp008","sample",466.1431562159,1137.2895692609,224.830776324,26.4037070588,62.6087374967,7.1427903534,259.8150965929,468.5435555488,4.929979908,9.7642375304,2.1658292913,384.1832181528,437.2742755724,84.3027818821,99.983044615
