"Compound","Timepoint","N_Obs","EMM_Log","SE_Log","DF","CI_Lower_Log","CI_Upper_Log","EMM","CI_Lower","CI_Upper","Order","Timepoint_Order"
"TLCA","18",32,0.595773460234967,0.148181497235975,80.6802915445595,0.300921049699946,0.890625870769988,1.81443379475518,1.3511026673661,2.43665420479672,10,2
"TLCA","26",28,0.870995890779086,0.157878106862967,82.7338494205632,0.55696774613488,1.18502403542329,2.38928914009407,1.74537205704655,3.27076543475291,10,3
"DCA","2",30,5.2840478546706,0.240597527391597,41.6804942540036,4.79839209378589,5.76970361555531,197.166363014513,121.315197153406,320.442744326689,11,1
"DCA","18",30,5.08587447585674,0.240597527391597,41.6804942556127,4.60021871497259,5.57153023674089,161.721298792147,99.5060767309537,262.835992958842,11,2
"DCA","26",30,4.76374831729747,0.240261293735708,41.6055289248759,4.27874516365884,5.2487514709361,117.184347831388,72.1498469295334,190.32848940178,11,3
"LCA","2",31,2.09588857568989,0.112305689773974,49.4340631262816,1.87025195716628,2.3215251942135,8.13266424826775,6.48993137802511,10.191206027078,12,1
"LCA","18",30,1.77275942642249,0.113456366740882,50.6596992582133,1.54494911063419,2.00056974221078,5.88707592145719,4.68773306518917,7.39326715558246,12,2
"LCA","26",29,1.60766629316662,0.11449680600851,51.9492922404709,1.37790630499176,1.83742628134149,4.991149745618,3.9665881018295,6.28035357936277,12,3
"UDCA","2",25,3.33226619964606,0.254233099635675,47.5715570612265,2.82097733271739,3.84355506657473,28.0017273584633,16.7932552522572,46.691169953623,13,1
"UDCA","18",26,3.31651594041466,0.251037052920051,46.155300620781,2.81125043936446,3.82178144146486,27.5641479341716,16.6307009054047,45.6855219547589,13,2
"UDCA","26",25,3.18396855541597,0.253527772385562,47.6237443603589,2.67411274102051,3.69382436981143,24.1423740382118,14.4994793374608,40.198286478816,13,3
"GUDCA","2",32,4.25436935731466,0.211891477434449,37.8297183277084,3.82535407040924,4.68338464422008,70.4123981197928,45.8490312779889,108.135453918748,14,1
"GUDCA","18",32,4.23920349282503,0.211891477434449,37.8297183241774,3.81018820591829,4.66821877973177,69.3525899979145,45.1589372458243,106.507859413002,14,2
"GUDCA","26",30,4.36575541371036,0.21341447671585,38.8241743216016,3.93402137602975,4.79748945139097,78.7088352230911,51.1121059414704,121.205742320026,14,3
"TUDCA","2",31,1.65543402190308,0.19782539379966,42.7409597919547,1.25641115770818,2.05445688609798,5.23535168644694,3.51279198184225,7.80259902165013,15,1
"TUDCA","18",32,1.59690445267973,0.196739310521408,41.949322485139,1.19985423927666,1.99395466608279,4.93772378468036,3.31963301536053,7.3445215362609,15,2
"TUDCA","26",30,1.82426688238031,0.198977348546794,43.5831720204837,1.42314603305703,2.2253877317036,6.19824930725937,4.15015645302887,9.25707136821379,15,3
"Total_BA","2",32,7.72408489846651,0.131764313974222,66.341620398766,7.4610342407387,7.98713555619433,2262.18151421241,1738.9456160329,2942.85523138956,16,1
"Total_BA","18",32,8.06277156824814,0.131764313974222,66.3416204243071,7.79972091052221,8.32582222597407,3174.07512046045,2439.92092633461,4129.13089173791,16,2
"Total_BA","26",30,8.088116321884,0.134939992139457,69.224618291166,7.81893398546957,8.35729865829843,3255.54938372821,2487.25254694555,4261.16833327145,16,3
"Glycine_Conjugated","2",32,7.13391603733594,0.143137314470329,52.4458043535278,6.84674810562998,7.4210839690419,1253.77720423761,940.816490943801,1670.84366929934,17,1
"Glycine_Conjugated","18",32,7.33125691031605,0.143137314470328,52.4458043430675,7.04408897860874,7.61842484202336,1527.30024549769,1146.06427101101,2035.35360005554,17,2
"Glycine_Conjugated","26",30,7.53390047998906,0.145650075618913,54.9884976897416,7.24200983338197,7.82579112659615,1870.38670014024,1396.89868502665,2504.36659835123,17,3
"Taurine_Conjugated","2",32,5.10308862080309,0.163410252504495,54.806264249341,4.77558113478165,5.43059610682453,164.529291930961,118.579205101922,228.285287289926,18,1
"Taurine_Conjugated","18",32,5.42780144578403,0.163410252504495,54.8062642736147,5.10029395976586,5.7553089318022,227.64819793047,164.070130228821,315.863112613577,18,2
"Taurine_Conjugated","26",30,5.67727077298238,0.166521962248966,57.5272564411733,5.34388251831669,6.01065902764807,292.150994475014,209.323838296822,407.751951556086,18,3
"Unconjugated","2",32,6.37599268269559,0.207402704351944,71.880804961806,5.96253123436056,6.78945413103062,587.56841053057,388.592499088725,888.428463912771,19,1
"Unconjugated","18",32,6.6750220896524,0.207402704351944,71.8808049587851,6.26156064131707,7.08848353798773,792.364956748613,524.036134711775,1198.08956500405,19,2
"Unconjugated","26",30,6.35712644565606,0.212878087420945,74.5548738489358,5.93301004496944,6.78124284634268,576.58711916036,377.288461587524,881.163194291115,19,3
