"Compound","Timepoint","N_Obs","EMM_Log","SE_Log","DF","CI_Lower_Log","CI_Upper_Log","EMM","CI_Lower","CI_Upper","Order","Timepoint_Order"
"CA","23",32,5.00566048140185,0.269143026915195,65.92976430733,4.46828840498165,5.54303255782205,149.255631178753,87.2073315668107,255.451497463846,5,3
"CA","26",30,5.0951262740531,0.274339620406209,69.4080366235061,4.54789109956997,5.64236144853623,163.224454336539,94.4330482774557,282.128163597798,5,4
"CDCA","2",32,5.08030888110557,0.259583663458984,75.9559282338352,4.56329835738086,5.59731940483028,160.823723667068,95.8992688124193,269.702474423787,6,1
"CDCA","18",32,5.42810164935641,0.259583663458984,75.9559282342753,4.91109112563175,5.94511217308107,227.716548991838,135.787494822678,381.882195797693,6,2
"CDCA","23",32,5.15145666057021,0.259583663458984,75.9559282342753,4.63444613684555,5.66846718429487,172.682847496463,102.970870427303,289.590305449917,6,3
"CDCA","26",30,5.16544229723939,0.265379664469199,79.8268202236741,4.63730234491105,5.69358224956773,175.114894280051,103.265397072392,296.955486233365,6,4
"GDCA","2",30,5.26280999617066,0.244664771763128,39.9920318234287,4.76832097802708,5.75729901431423,193.023124187489,117.721419083342,316.492332161932,7,1
"GDCA","18",30,5.238938827245,0.244664771763128,39.9920318237196,4.74444980910153,5.73342784538846,188.469997025277,114.944546659085,309.026750821504,7,2
"GDCA","23",31,5.41722645374089,0.243513273500977,39.3137602489685,4.92480002106795,5.90965288641383,225.253504298371,137.661809428386,368.578194703243,7,3
"GDCA","26",30,5.30894685687682,0.244555752637559,39.9403544085735,4.814658249936,5.80323546381764,202.13723681164,123.304665731386,331.369962875983,7,4
"TDCA","2",30,3.36266552258333,0.232504566167514,38.1241533978622,2.89203496705758,3.83329607810908,28.8660314823725,18.0299626750963,46.2146144479954,8,1
"TDCA","18",31,3.50457304031234,0.230858638957096,37.214929313694,3.03690017758882,3.97224590303585,33.2672370506132,20.8405410280869,53.1036626875558,8,2
"TDCA","23",30,3.96300935363316,0.232504566167514,38.1241533955367,3.49237879810647,4.43363990915986,52.6154263642435,32.864031692753,84.2374763197908,8,3
"TDCA","26",29,3.6959397012761,0.233800167896296,38.9398734990403,3.22301087678486,4.16886852576733,40.2834091786518,25.103590326,64.6422696507274,8,4
"GLCA","2",31,1.90853091796227,0.185299631356392,47.1221785555845,1.53578165450935,2.28128018141518,6.74317524077592,4.64495486124062,9.7892043488381,9,1
"GLCA","18",31,1.91304880416589,0.185299631356392,47.1221785505916,1.54029954071194,2.28579806761985,6.77370906139209,4.66598771496404,9.83353091591646,9,2
"GLCA","23",32,2.51953985482217,0.184273976842194,46.2180667086895,2.14866279944676,2.89041691019757,12.4228790203295,8.57338639167521,18.0008127597742,9,3
"GLCA","26",30,1.7492359105527,0.186387648222989,48.0871859775158,1.37449597923923,2.12397584186617,5.75020732426238,3.95308378442517,8.36432670672797,9,4
"TLCA","2",30,0.709155774538718,0.144691279920256,104.074819050051,0.422229964368756,0.996081584708681,2.03227483606394,1.52535926263308,2.70765131236642,10,1
"TLCA","18",32,0.595773460234967,0.140366215353798,102.307598865518,0.317367784622212,0.874179135847722,1.81443379475518,1.37350763402901,2.39690695121402,10,2
"TLCA","23",31,1.17463593215476,0.142509641138918,103.015957787299,0.892002190940745,1.45726967336878,3.23696425468826,2.44001013001198,4.29421888755769,10,3
"TLCA","26",28,0.857725830598504,0.149304069915358,106.522187771093,0.561732742059621,1.15371891913739,2.35779257228768,1.75370859379381,3.16995984031118,10,4
"DCA","2",30,5.26394843596835,0.248286739150766,42.5859621918785,4.76308968559569,5.76480718634101,193.242994524764,117.107191916409,318.877554160407,11,1
